date,day,es,ev,ov,etc
2016-06-02,Mon,30,5,17,3
2016-06-03,Tue,23,6,13,7
2016-06-04,Wed,34,6,20,8
2016-06-07,Say,1,0,0,0
2016-06-09,Mon,26,6,16,5
2016-06-10,Tue,27,6,18,3
2016-06-11,Wed,37,5,24,5
2016-06-12,Thu,25,6,19,5
2016-06-13,Fri,19,3,19,3
2016-06-16,Mon,31,5,24,38
2016-06-17,Tue,32,6,29,5
2016-06-18,Wed,25,4,15,2
2016-06-19,Thu,23,4,14,1
2016-06-20,Fri,20,4,12,3
2016-06-21,Sat,2,0,0,0
2016-06-23,Mon,28,7,20,4
2016-06-24,Tue,21,4,15,5
2016-06-25,Wed,25,4,15,7
2016-06-26,Thu,33,6,13,7
2016-06-27,Fri,27,3,14,4
2016-06-28,Sat,4,0,0,1
2016-06-30,Mon,20,4,16,4
2016-06-31,Tue,26,7,14,3
2016-06-01,Wed,40,5,26,6
2016-06-02,Thu,32,5,21,6
2016-06-03,Fri,31,6,21,5
2016-06-04,Sat,1,0,0,0
2016--07,Tue,36,7,12,4
2016--08,Wed,31,5,17,6
2016--09,Thu,36,6,27,4
2016--10,Fri,23,4,15,5
2016--11,Sat,0,0,1,0
2016--12,Sun,0,0,0,0
2016--13,Mon,23,4,8,4
2016--14,Tue,36,5,15,3
2016--15,Wed,23,4,9,11
2016--16,Thu,28,6,14,9
2016--17,Fri,23,3,8,3
2016--18,Sat,0,0,0,0
2016--20,Mon,29,4,12,7
2016--21,Tue,33,6,12,4
2016--22,Wed,30,3,9,5
2016--23,Thu,24,3,8,5
2016--24,Fri,12,1,7,0
2016--25,Sat,1,0,0,0
2016--27,Mon,21,3,9,2
2016--28,Tue,19,2,7,1
2016--29,Wed,18,2,10,1
2016--30,Thu,14,2,5,3
2016--31,Tue,999,999,999,999
