"Date","EV","OB","HM","TH","DD","JU","N"
2016-05-01,0,0,0,0,0,0,0
2016-05-02,145,46,6,2,0,4,16
2016-05-03,124,27,3,0,3,4,34
2016-05-04,167,46,10,4,0,6,36
2016-05-05,0,0,0,0,0,0,0
2016-05-06,0,0,0,0,0,0,0
2016-05-07,2,0,0,0,0,0,1
2016-05-08,0,0,0,0,0,0,0
2016-05-09,133,42,6,1,2,2,25
2016-05-10,140,52,4,0,2,1,16
2016-05-11,185,57,12,6,0,1,28
2016-05-12,135,58,2,0,0,0,25
2016-05-13,90,42,7,8,0,10,17
2016-05-14,0,0,0,0,0,0,0
2016-05-15,0,0,0,0,0,0,0
2016-05-16,149,62,5,3,3,5,159
2016-05-17,164,69,5,2,10,9,32
2016-05-18,122,39,9,0,1,1,13
2016-05-19,110,38,7,0,0,3,4
2016-05-20,98,34,2,0,2,5,12
2016-05-21,8,1,0,0,0,0,0
2016-05-22,0,0,0,0,0,0,0
2016-05-23,145,49,4,2,4,7,25
2016-05-24,99,38,9,1,0,2,29
2016-05-25,115,45,2,0,4,4,32
2016-05-26,154,37,9,0,1,1,30
2016-05-27,121,35,8,0,1,7,20
2016-05-28,17,0,0,0,0,0,2
2016-05-29,0,0,0,0,0,0,0
2016-05-30,97,44,9,1,0,3,18
2016-05-31,134,38,2,2,0,2,19
